,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,1,US,1602989705,48,42.1,-79.24,45.0,6.93
1,puerto ayora,91,EC,1602989713,86,-0.74,-90.35,71.01,4.0
2,bluff,56,NZ,1602989713,66,-46.6,168.33,53.01,7.0
3,bredasdorp,100,ZA,1602989713,93,-34.53,20.04,53.6,5.82
4,ancud,90,CL,1602989713,93,-41.87,-73.82,48.99,12.75
5,omsukchan,64,RU,1602989713,77,62.53,155.8,28.85,7.9
6,bethel,1,US,1602989714,93,41.37,-73.41,42.01,3.36
7,punta arenas,87,CL,1602989524,93,-53.15,-70.92,42.8,3.36
8,kota kinabalu,20,MY,1602989714,62,5.97,116.07,89.6,5.82
9,pacific grove,0,US,1602989640,78,36.62,-121.92,66.99,1.19
10,san patricio,1,US,1602989714,88,28.02,-97.52,75.99,10.29
11,zimovniki,78,RU,1602989714,72,47.15,42.46,55.53,12.01
12,busselton,0,AU,1602989489,33,-33.65,115.33,75.99,5.57
13,cidreira,87,BR,1602989714,81,-30.18,-50.21,66.94,23.35
14,qaanaaq,100,GL,1602989714,84,77.48,-69.36,35.69,8.46
15,lebu,20,CL,1602989441,94,-37.62,-73.65,50.11,5.03
16,souillac,75,MU,1602989715,93,-20.52,57.52,66.2,3.36
17,puerto colombia,20,CO,1602989715,94,10.99,-74.95,75.2,4.7
18,saint-pierre,2,RE,1602989715,60,-21.34,55.48,72.0,4.7
19,riohacha,94,CO,1602989681,86,11.54,-72.91,79.74,6.85
20,rikitea,100,PF,1602989715,80,-23.12,-134.97,74.32,18.86
21,japura,81,ID,1602989715,58,-0.32,102.35,89.55,3.11
22,morro bay,0,US,1602989715,92,35.37,-120.85,66.99,1.66
23,tuatapere,95,NZ,1602989715,66,-46.13,167.68,53.01,7.0
24,carroll,1,US,1602989715,66,39.55,-77.02,48.2,4.7
25,itarema,99,BR,1602989716,84,-2.92,-39.92,77.54,13.44
26,mahebourg,75,MU,1602989716,93,-20.41,57.7,66.2,3.36
27,alghero,40,IT,1602989716,100,40.56,8.32,55.4,5.82
28,tasiilaq,4,GL,1602989716,36,65.61,-37.64,48.2,18.34
29,saint-georges,20,GD,1602989716,83,12.06,-61.75,80.6,5.82
30,kapaa,40,US,1602989716,83,22.08,-159.32,78.8,6.93
31,bengkulu,95,ID,1602989716,79,-3.8,102.27,78.98,2.55
32,sawtell,99,AU,1602989517,57,-30.38,153.1,78.8,8.05
33,carnarvon,75,AU,1602989716,69,-24.87,113.63,75.2,13.87
34,tiksi,100,RU,1602989717,95,71.69,128.87,19.4,12.41
35,jacareacanga,100,BR,1602989717,92,-6.22,-57.75,72.12,1.23
36,russell,1,US,1602989717,67,32.35,-85.2,60.8,6.82
37,gazanjyk,0,TM,1602989717,37,39.24,55.52,54.18,11.39
38,jinxiang,87,CN,1602989717,66,27.43,120.61,70.16,12.93
39,thompson,90,CA,1602989717,100,55.74,-97.86,28.4,2.24
40,ulaangom,51,MN,1602989717,62,49.98,92.07,41.68,3.44
41,stokmarknes,63,NO,1602989717,67,68.56,14.91,37.99,11.01
42,hilo,90,US,1602989717,62,19.73,-155.09,84.2,11.41
43,sochaczew,90,PL,1602989718,93,52.23,20.24,42.01,8.05
44,port lincoln,19,AU,1602989718,55,-34.73,135.87,57.81,9.46
45,butaritari,26,KI,1602989699,77,3.07,172.79,82.45,20.07
46,arraial do cabo,31,BR,1602989718,83,-22.97,-42.03,70.11,14.61
47,the pas,90,CA,1602989703,86,53.83,-101.25,28.4,11.41
48,zatoka,0,UA,1602989718,93,46.07,30.47,48.2,4.47
49,kharp,100,RU,1602989718,95,66.8,65.81,24.93,9.95
50,lamu,80,KE,1602989718,78,-2.27,40.9,77.02,12.35
51,parola,51,IN,1602989718,80,20.88,75.12,80.19,6.04
52,fortuna,1,US,1602989719,93,40.6,-124.16,57.0,6.93
53,saldanha,34,ZA,1602989719,87,-33.01,17.94,55.4,3.36
54,oskaloosa,40,US,1602989719,44,41.3,-92.64,59.0,5.82
55,bonnyville,75,CA,1602989719,53,54.27,-110.73,23.0,19.46
56,ushuaia,40,AR,1602989688,81,-54.8,-68.3,42.8,9.17
57,vysokogornyy,98,RU,1602989719,86,50.12,139.15,35.31,18.57
58,saint-philippe,37,RE,1602989719,60,-21.36,55.77,72.0,4.7
59,la palma,1,US,1602989719,73,33.85,-118.05,73.99,4.7
60,rio grande,100,BR,1602989720,88,-32.03,-52.1,66.99,1.99
61,svetlogorsk,100,BY,1602989720,91,52.63,29.73,41.11,10.45
62,petropavlovka,91,RU,1602989720,58,50.61,105.32,43.63,4.41
63,provideniya,43,RU,1602989720,87,64.38,-173.3,36.81,1.9
64,vila franca do campo,40,PT,1602989720,67,37.72,-25.43,60.8,6.93
65,cabo san lucas,5,MX,1602989425,83,22.89,-109.91,82.99,10.29
66,starominskaya,100,RU,1602989720,82,46.53,39.05,62.96,5.14
67,khatanga,34,RU,1602989720,91,71.97,102.5,6.64,8.55
68,namatanai,100,PG,1602989720,82,-3.67,152.43,79.72,4.85
69,saint-augustin,94,CA,1602989720,88,51.23,-58.65,57.06,17.36
70,cherskiy,31,RU,1602989721,93,68.75,161.3,24.6,14.9
71,new norfolk,98,AU,1602989721,62,-42.78,147.06,62.01,3.0
72,sindor,92,RU,1602989721,98,62.86,51.89,29.86,8.86
73,cape town,20,ZA,1602989531,93,-33.93,18.42,55.99,3.36
74,hermanus,59,ZA,1602989721,95,-34.42,19.23,52.0,6.13
75,vao,0,NC,1602989721,61,-22.67,167.48,71.96,9.64
76,vestmannaeyjar,100,IS,1602989721,87,63.44,-20.27,47.82,22.82
77,bilibino,97,RU,1602989722,95,68.05,166.44,21.94,2.35
78,ostrovnoy,2,RU,1602989507,86,68.05,39.51,33.19,5.5
79,berlevag,99,NO,1602989722,74,70.86,29.09,37.81,12.12
80,paamiut,73,GL,1602989722,86,61.99,-49.67,39.96,9.17
81,dikson,1,RU,1602989722,93,73.51,80.55,17.53,24.0
82,mataura,72,NZ,1602989722,66,-46.19,168.86,53.01,7.0
83,bara,19,NG,1602989722,88,10.37,10.73,73.15,5.28
84,shagonar,82,RU,1602989722,62,51.53,92.8,43.16,1.77
85,bulgan,46,MN,1602989514,57,48.81,103.53,41.81,3.67
86,aleksandrov gay,47,RU,1602989723,55,50.15,48.57,46.42,12.71
87,lompoc,1,US,1602989488,82,34.64,-120.46,66.2,6.93
88,itamarandiba,100,BR,1602989723,93,-17.86,-42.86,61.14,3.8
89,half moon bay,1,US,1602989723,59,37.46,-122.43,77.0,2.57
90,binzhou,0,CN,1602989723,29,37.37,118.02,72.0,7.63
91,shahr-e kord,0,IR,1602989723,30,32.33,50.86,26.6,2.24
92,atuona,1,PF,1602989723,76,-9.8,-139.03,78.3,14.07
93,cayenne,75,GF,1602989723,100,4.93,-52.33,77.0,10.27
94,carrefour,16,HT,1602989723,83,18.54,-72.4,80.6,3.06
95,chokurdakh,100,RU,1602989705,98,70.63,147.92,23.56,6.69
96,deputatskiy,100,RU,1602989724,96,69.3,139.9,14.7,10.27
97,mirnyy,75,RU,1602989478,85,62.54,113.96,17.6,2.24
98,port alfred,100,ZA,1602989724,87,-33.59,26.89,62.26,16.42
99,kodiak,90,US,1602989494,70,57.79,-152.41,44.6,9.17
100,mount gambier,90,AU,1602989724,67,-37.83,140.77,57.2,9.17
101,mareeba,40,AU,1602989724,54,-17.0,145.43,84.99,12.75
102,east london,100,ZA,1602989724,83,-33.02,27.91,64.67,13.53
103,kaohsiung,75,TW,1602989725,66,22.62,120.31,84.99,4.7
104,koygorodok,0,RU,1602989725,97,60.45,51.0,28.72,6.31
105,nusaybin,0,TR,1602989725,37,37.08,41.22,62.35,1.97
106,praia,20,CV,1602989725,94,14.92,-23.51,77.0,6.93
107,sarkand,0,KZ,1602989725,31,45.41,79.92,58.33,3.36
108,vaini,75,TO,1602989725,83,-21.2,-175.2,77.0,17.22
109,almaznyy,20,RU,1602989725,59,48.04,40.05,60.8,8.95
110,kirakira,6,SB,1602989725,69,-10.45,161.92,85.17,8.19
111,mananara,34,MG,1602989726,81,-16.17,49.77,69.66,3.96
112,georgetown,20,MY,1602989529,83,5.41,100.34,84.2,5.82
113,miram shah,0,PK,1602989726,19,33.01,70.07,71.13,7.0
114,vologda,100,RU,1602989670,95,59.22,39.89,32.23,8.55
115,rincon,40,US,1602989726,77,32.3,-81.24,60.8,5.82
116,banda aceh,88,ID,1602989726,60,5.56,95.32,86.61,14.52
117,kudahuvadhoo,100,MV,1602989726,77,2.67,72.89,82.74,17.9
118,avarua,94,CK,1602989438,69,-21.21,-159.78,77.0,13.87
119,bambous virieux,75,MU,1602989727,93,-20.34,57.76,73.99,3.36
120,saint-joseph,19,RE,1602989727,60,-21.37,55.62,72.0,4.7
121,los llanos de aridane,40,ES,1602989727,83,28.66,-17.92,71.6,5.82
122,loreto,0,MX,1602989727,60,22.27,-101.97,61.93,9.73
